


Satz 2.2	Ist \(f: \Omega \subseteq E \rightarrow F\) in \(x_0\) differenzierbar, so ist die Ableitung von \(f\) in \(x_0\) eindeutig bestimmt. Sie wird mit \(f'(x_0)\) bezeichnet.
Satz 2.4	Ist \(f\) in \(x_0\) differenzierbar und \(f'(x_0)\) stetig, so ist \(f\) in \(x_0\) stetig.
Satz 2.6	Eine lineare Abbildung \(A: E \rightarrow F\) ist genau dann auf ganz \(E\) stetig, wenn sie in irgendeinem \(x_0 \in E\) stetig ist, und dies ist genau dann der Fall, wenn \(A\) beschraenkt ist, das heißt, es eine Konstante \(C\) mit \[\|Av\|_{F} \leq C\|v\|_{E}\] fuer alle \(v \in E\) gibt.
Satz 2.7	Durch den Ausdruck \[\|A\|_{E \rightarrow F} := \sup_{\|v\|_E=1}\|Av\|_F\] wird eine Norm auf dem Vektorraum \(L(E,F)\) aller beschraenkten linearen Abbildungen von \(E\) nach \(F\) definiert. Fuer \(v \in E\) ist \[\|Av\|_{F} \leq \|A\|_{E \rightarrow F} \|v\|_{E}.\] Der Ausdruck \(\|A\|_{E \rightarrow F}\) wird als Operatornorm von A bezeichnet.
Satz 2.8	Sei \(E\) ein Vektorraum. Ist \(E\) endlichdimensional, so ist jede lineare Abbildung \(A:E \rightarrow F\) beschraenkt und damit stetig.
Satz 2.9	Ist \(f\) in \(x_0\) sowohl stetig als auch differenzierbar, so ist die Ableitung \(f'(x_0)\) eine stetige lineare Abbildung von \(E\) nach \(F\).
Satz 2.13	Ist \(f\) in \(x_0\) differenzierbar, so existieren dort alle Richtungsableitungen und sind gegeben durch \[\lim_{t \rightarrow 0} \frac{f(x_0+te)-f(x_0)}{t} =f'(x_0)e.\]
Satz 2.18	Ist \(f: \Omega \subseteq \mathbb{R}^n \rightarrow \mathbb{R}^m\) in \(x_0 \in \Omega\) differenzierbar, so ist die Jacobimatrix von \(f\) in \(x_0\) die Darstellung der Ableitung \(f'(x_0)\) bzgl. der Standardbasen des \(\mathbb{R}^n\) und \(\mathbb{R}^m\).
Satz 2.19	Existieren fuer \(f: \Omega \subseteq \mathbb{R}^n \rightarrow \mathbb{R}^m\) die partiellen Ableitungen \(D_i f\) in jedem Punkt aus einer Umgebung \(U \subseteq \Omega\) von \(x_0\) stetig, so ist \(f\) in \(x_0\) differenzierbar.
Satz 2.22	Sei \(g: \Omega \subseteq E \rightarrow F, \Omega \) offen, in \(x_0 \in \Omega\) differenzierbar. Die Funktion \(f: U \subseteq F \rightarrow G\) sei auf einer Umgebung \(U\) von \(g(x_0)\) definiert und in \(g(x_0)\) differenzierbar. Dann ist \(f \circ g: \Omega \rightarrow G: x \mapsto f(g(x))\) in \(x_0\) differenzierbar und \[(f \circ g)'(x_0)=f'(g(x_0)) \circ g'(x_0).\] Bei Interpretation durch Matrizen ist \[(f \circ g)'(x_0)=f'(g(x_0))g'(x_0).\]
Satz 2.24	Ist \(\Omega \subseteq \mathbb{R}^n\) konvex, \(f: \Omega \rightarrow \mathbb{R}^m\) (stetig) differenzierbar und liegen \(x\), \(x_0\) in \(\Omega\), so gilt fuer stetig differenzierbare Funktionen \(f\) \[f(x)=f(x_0)+ \int_0^1 f(x_0+t(x-x_0))(x-x_0) \mathrm{d}t = f(x_0)+\int_0^1 \phi '(t) \mathrm{d}t\]
Satz 2.25	Ist \(f'\) Lipschitz-stetig, gibt es also eine Kontante \(L\) mit \[\|f'(x)-f'(y)\|\leq L\|x-y\|\] fuer alle \(x,y \in \Omega \), so ist \[\|f(x)-{f(x_0)+f'(x_0)(x-x_0)}\| \leq \frac{1}{2} L \|x-x_0\|^2.\]
Satz 2.26	Ist \(\Omega \subseteq \mathbb{R}^n\) wegzusammenhaengend, \(f: \Omega \rightarrow \mathbb{R}^m\) differenzierbar und \(f'(x)=0\) fuer alle \(x \in \Omega\), so ist \(f\) konstant.






Satz 2.36	Sei \(f: \Omega \subseteq \mathbb{R}^n \rightarrow \mathbb{R},\) zweimal differenzierbar, \(h=(h_1,\cdots,h_n)^T \in \mathbb{R}^n\) und \(x_0+th \in \Omega\) fuer \(0 \leq t \leq 1.\) Dann gibt es ein \( 0 < \vartheta < 1\) mit \[f(x_0 + h) = f(x_0) + \sum \limits_{k=1} \limits^{n} (D_k f)(x_0)h_k + R_1(h)\] mit dem Restglied \[R_1= \frac {1}{2} \sum \limits_{i=1} \limits^{n} \sum \limits_{k=1} \limits^{n} (D_i D_k f)(x_0 + \vartheta h)h_i h_k.\]
Satz 2.38	Sei \(f: \Omega \subseteq \mathbb{R}^n \rightarrow \mathbb{R} (k+1)\)-mal stetig differenzierbar, \(h=(h_1 \cdots h_n)^T \in \mathbb{R}^n\) und \( x_0+th \in \Omega \) fuer \(0 \leq t \leq 1.\) Dann gibt es ein \(0 < \vartheta < 1\) mit \[f(x_0+h)= \sum \limits_{| \alpha | \leq k} \frac{1}{\alpha !} (D^{\alpha}f)(x_0)h^{\alpha}+R_k,\] mit \[R_k= \sum \limits_{|\alpha |=k+1} \frac {1}{\alpha !}(D^{\alpha}f)(x_0+\vartheta h)h^{\alpha}\]
Satz 2.39	Ist \( \Omega \subseteq \mathbb{R}^n\) wegzusammenhaengend, \(f: \Omega \rightarrow \mathbb{R} (k+1)\)-mal stetig differenzierbar und \(D^{\alpha}f = 0\) fuer alle Multiindizes \( \alpha\) mit \(|\alpha |=k+1,\) so ist \( f\) ein Polynom k-ten Grades.
Satz 2.41	Ist \( \Omega \) offen und nimmt \(f\) in \(x_0 \in \Omega\) ein lokales Extremum an, ist dort \[(\nabla f)(x_0)=0.\]
Satz 2.43	Sei \(S\) eine symmetrische \((n \times n)\)-Matrix. Ist \(S\) positiv definit, so gibt es ein \(\alpha > 0\) mit \[\langle x,Sx \rangle \geq \alpha \|x\|_{2}^{2}, \quad x \in \mathbb{R}^n.\] Ist \(S\) negativ definit, so gibt es ein \(\alpha > 0\) mit \[\langle x, Sx \rangle \leq -\alpha \|x\|_2^2, \quad x \in \mathbb{R}^n.\] Bemerkung: \(\alpha\) ist der minimale bzw. maximale Eigenwert von \(S\).
Satz 2.44	Sei \(\Omega \subseteq \mathbb{R}^n\) offen, \(f: \Omega \rightarrow \mathbb{R}\) zweimal stetig differenzierbar und es gelte \(\nabla f) (x_0)=0.\) Ist dann \(f''(x_0)\) positiv definit, so nimmt \(f\) in \(x_0\) ein isoliertes lokales Minimum an. \\ Ist \(f''(x_0)\) negativ definit, so nimmt \(f\) in \(x_0\) ein isoliertes lokales Maximum an. \\ Ist \(f''(x_0)\) indefinit, so besitzt \(f\) in \(x_0\) kein lokales Extremum.
Satz 3.2	Der \(\mathbb{R}^n\) ist vollstaendig.
Satz 3.5	Sei \(\Omega \subseteq \mathbb{R}^n\) offen und \(f: \Omega \rightarrow \mathbb{R}^n\) stetig differenzierbar. Es sei \(f(x_0)=y_0\) und \(f'(x_0)\) nichtsingulaer. Ist dann fuer alle \(x \in K:= \overline{K(x_0,R)} \subseteq \Omega\) \[\|I-f'(x_0)^{-1}f'(x)\| \leq \vartheta <1,\] so besitzt die Gleichung \(f(x)=y\) fuer alle \(y \in K':=\overline{K(y_0,R')},\) \[R'= \frac{1-\vartheta}{\|f'(x_0)^{-1}\|}R,\] genau eine Loesung \(x \in K\).
Satz 3.6	Es gibt eine auf einer Umgebung \(U\) von \(y_0\) definierte und in \(y_0\) stetige Funktion \(g:U \rightarrow \Omega\) mit \(f(g(y))=y\) fuer alle \(y \in U\).

Lemma 3.8	Die Menge der invertierbaren \((n \times n)\)-Matrizen ist offen. Die Abbildung \(A \mapsto A^{-1}\) dieser Menge in sich ist stetig, sogar lokal Lipschitz-stetig.
