Assoziativ	Eine zweistellige Verknuepfung \( \ast : A \times A \rightarrow A\) auf einer Menge \(A\) hei\ss t assoziativ, wenn fuer alle \(a,b,c \in A\) das Assoziativgesetz \[a \ast (b \ast c) = (a \ast b) \ast c\] gilt.
Verknuepfung	Fuer eine natuerliche Zahl \(n \in \mathbb{N}\) seien \(n\) Mengen \( A_1, \cdots, A_n\) und eine weitere Menge \(B\) gegeben. Dann bezeichnet man eine Abbildung \( \ast\) des kartesischen Produkts \(A_1 \times \cdots \times A_n\) nach \(B\) als \(n\)-stellige Verknuepfung. \[ \ast : A_1 \times \cdots \times A_n \rightarrow B, (a_1,\ldots,a_n) \mapsto \ast (a_1, \ldots, a_n)\] Anstatt \(\ast (a_1, \ldots, a_n)\) schreibt man meistens \( a_1 \ast \ldots \ast a_n\)
Innere Verknuepfung	Seien \(A_1,\ldots,A_n\) und \(B\) Mengen. Ist dann \(*\) eine \(n\)-stellige Verknuepfung mit \[*: A_1,\ldots,A_n \rightarrow B\] mit \(A_i = B\) fuer alle \(1 \leq i \leq n\), so nennt man \(*\) innere \(n\)-stellige Verknuepfung.
Au\ss ere Verknuepfung	Seien \(A_1,\ldots,A_n\) und \(B\) Mengen. Ist dann \(*\) eine \(n\)-stellige Verknuepfung mit \[*: A_1,\ldots,A_n \rightarrow B\] mit \(A_i \neq B\) fuer \(1 \leq i \leq m\) und \(A_i = B\) fuer \(m+1 \leq i \leq n\) fuer ein \(M\) mit \(0 \leq m < n\), so nennt man \(*\) aeu\ss ere \(n\)-stellige Verknuepfung.
Magma/Gruppoid	Ein Magma (oder auch Gruppoid) ist eine Algebraische Struktur \((M,*)\) bestehend aus einer Menge \(M\) und einer inneren, zweistelligen Verknuepfung \[*:M \times M \rightarrow M.\]
Halbgruppe	Ein assoziatives Magma hei\ss t Halbgruppe.
Monoid	Ein Monoid ist ein Halbgruppe mit neutralem Element.
Neutrales Element	Sei \((S,\ast)\) ein Magma. Dann hei\ss t ein Element \(e \in S\) \begin{description} \item[linksneutral], falls \(e \ast a = a\) fuer alle \(a \in S\) ist, \item[rechtsneutral], falls \(a \ast e = a\) fuer alle \(a \in S\) ist, \item[neutral], falls \(e\) linksneutral und rechtsneutral ist. \end{description}
Inverses Element	Sei \((S,\ast)\) ein Magma und \(e\) ein neutrales Element von \((S,\ast)\). Dann hei\ss t ein Element \(a \in S\) \begin{description} \item[Linksinverse von b] falls \(a \ast b = e\) fuer \(b \in S\) ist, \item[Rechtsinverse von b] falls \(b \ast a = e\) fuer \(b \in S\) ist, \item[Inverse von b] falls \(a\) sowohl die Linksinverse als auch die Rechtsinverse von b ist. \end{description}
Gruppe	Eine Gruppe ist eine Algebraische Struktur bestehend aus einer Menge \(G\) mit einer inneren zweistelligen Verknuepfung fuer die gilt: \begin{enumerate} \item Die Verknuepfung ist assoziativ \item Es gibt ein neutrales Element \(e \in G\) \item Zu jedem \(a \in G\) gibt es ein inverses Element \end{enumerate}
Kommutative Gruppe	Eine Gruppe \((G,\oplus)\) hei\ss t kommutativ oder abelsch, falls fuer alle \(a,b \in G\) das Kommutativgesetz gilt: \[ a \oplus b = b \oplus a.\]
Untergruppe	Sei \((G,\oplus)\) eine Gruppe und \(H \subseteq G\). Ist \((H,\oplus)\) eine Gruppe, so nennt man \((H, \oplus)\) eine Untergruppe von \((G,\oplus)\).
Gruppenhomomorphismus	Seien \((G_1, \oplus)\) und \((G_2, \otimes)\) Gruppen. Eine Abbildung \[ \varphi : G_1 \rightarrow G_2, g \mapsto \varphi (g),\] hei\ss t Gruppenhomomorphismus, wenn \[\varphi(a \oplus b) = \varphi (a) \otimes \varphi (b), \forall a,b \in G_1\] gilt.
Gruppenisomorphismus	Ein bijektiver Gruppenhomomorphismus wird Gruppenisomorphismus genannt.
Ring	Ein Ring ist eine eine Algebraische Struktur bestehend aus einer Menge \(R\) mit zwei zweistelligen Verknuepfungen \( \oplus, \otimes\) fuer die gilt: \begin{enumerate} \item \((R,\oplus)\) ist eine kommutative Gruppe \item \((R,\otimes)\) ist eine Halbgruppe \item Fuer alle \(a,b,c \in R\) gelten die Distributivgesetze mit: \[a \otimes (b \oplus c) = a \otimes b \oplus a \otimes c\] \[(a \oplus b) \otimes c = a \otimes c \oplus b \otimes c\]  \end{enumerate}
Kommutativer Ring	Ein Ring \((R,\oplus, \otimes)\) hei\ss t kommutativ falls fuer alle \(a,b \in R\) mit \(\otimes\) das Kommutativgesetz gilt: \[a \otimes b = b \otimes a\]
Einselement	Sei \((R,\oplus, \otimes)\) ein Ring. Ein Element \(1 \in R\) hei\ss t Einselement (kurz Eins), falls die Halbgruppe \((R,\otimes)\) ein Monoid ist, also ein neutrales Element 1 besitzt.
Ring mit Eins	Sei \((R,\oplus, \otimes)\) ein Ring. Ist die Halbgruppe \((R,\otimes)\) ein Monoid, besitzt also ein Einselement, dann nennt man \((R, \oplus, \otimes)\) einen Ring mit Eins.
Koerper	Ein Koerper ist eine Algebraische Struktur bestehend aus einer Menge \(K\) mit zwei inneren zweistelligen Verknuepfungen \(\oplus\) und \(\otimes\) fuer die folgende Regeln erfuellt sind: \begin{enumerate} \item \((K,\oplus)\) ist eine kommutative Gruppe. (Dabei hei\ss t das neutrale Element bzgl \(\oplus\) Null und wird mit \(0\) bezeichnet. Das zu \(a \in K\) inverse Element bezeichnet man mit \(-a\).) \item \((K \setminus \{0\},\otimes)\) ist eine kommutative Gruppe. (Man nennt das neutrale Element bzgl. \(\otimes\) Eins und bezeichnet es mit \(1\). Das zu \(a \in K \setminus \{0\}\) inverse Element bezeichnet man mit \(a^{-1}\)) \item Es gelten die Distributivgesetze, sodass fuer alle \(a,b,c \in K\) gilt: \[a \otimes (b \oplus c) = a \otimes b \oplus a \otimes c,\] \[(a \oplus b) \otimes c = a \otimes c \oplus b \otimes c.\] \end{enumerate}
Nullteiler	Sei \((R,\oplus,\otimes)\) ein Ring. Dann hei\ss t \(a \in R\) ein Nullteiler, wenn ein \( b \in R \setminus \{0\}\) mit \(a \otimes b = 0\) existiert.
Teilkoerper	Sei \((K, \oplus, \otimes)\) ein Koerper und \(L \subseteq K\). Ist \((L, \oplus, \otimes)\) ein Koerper, so nennen wir diesen einen Teilkoerper von \((K,\oplus,\otimes).\)

Matrix-Multiplikation	Sei \((R,+,\cdot)\) ein kommutativer Ring mit Eins. Die Multiplikation zweier Matrizen ist definiert als: \[*:R^{n,m} \times R^{m,s} \rightarrow R^{n,s}, \quad (A,B) \mapsto A*B=[c_{ij}], \quad c_{ij}:=\sum_{k=1}^m a_{ik}b_{bj}.\]
Skalare Matrix-Multiplikation	Sei \((R,+,\cdot)\) ein kommutativer Ring mit Eins. Die Multiplikation eines Skalars und einer Matrix ist definiert als: \[\cdot: R \times R^{n,m} \rightarrow R^{n,m}, \quad (\lambda, A) \mapsto \lambda \cdot A:=[\lambda a_{ij}].\]
