Satz 3.2	F\"ur jede Gruppe \((G,\oplus)\) gelten: \begin{enumerate} \item Ist \(e \in G\) ein neutrales Element und sind \(a,\~a \in G\) mit \( \~a \oplus a = e\), so gilt auch \(a \oplus \~a = e\). \item Ist \(e \in G\) ein neutrales Element und ist \(a \in G\), so gilt auch \(a \oplus e = a\). \item \(G\) enth\"alt genau ein neutrales Element. \item Zu jedem \(a \in G\) gibt es genau ein inverses Element.
Satz 3.8	Sei \((R,\oplus, \otimes)\) ein Ring. Dann gilt: \begin{enumerate} \item \(0 \otimes a = a \otimes 0 = 0\) f\"ur alle \(a \in R\) \item \(a \otimes (-b) = -(a \otimes b) = (-a) \otimes b\) und \((-a) \otimes (-b) = a \otimes b\)  f\"ur alle \(a,b \in R\)
Satz 3.11	Sei \((R,\oplus,\otimes)\) ein Ring mit Eins. Dann gilt: \begin{enumerate} \item Falls zu \(a \in R\) ein inverses Element (bez\"uglich \(\otimes\)) existiert, so ist dieses eindeutig. Man bezeichnet es dann mit \(a^{-1}\). \item Sind \(a,b \in R\) invertierbar, so ist \(a \otimes b\) invertierbar und \[(a \otimes b)^{-1}=b^{-1} \otimes a^{-1}.\]
Lemma 3.14	F\"ur jeden K\"orper \(K\) gelten folgende Aussagen: \begin{enumerate} \item \(K\) hat mindestens zwei Elemente. \item \(0 \otimes a = a \otimes 0 = 0\) f\"ur alle \(a \in K.\) \item \(a \otimes b = a \otimes c\) und \(a \neq 0\) impliziert \(b = c\) f\"ur alle, \(a,b,c \in K.\) \item \(a \otimes b = 0\) impliziert \( a = 0\) oder \(b=0\), f\"ur alle \(a,b \in K.\)






Lemma 8.3	Sei \((R,+,*)\) ein Ring mit eins. F\"ur \(A \in R^{n,n}\) gilt \(P_A=P_{A^T}\) und \[P_A = t^n -\alpha_{n-1}t^{n-1}+\ldots+(-1)^{n-1} \alpha_1 t + (-1)^n \alpha_0\] mit \(\alpha_{n-1}=\sum_{i=1}^n a_{ii}\) und \(\alpha _0 = \det (A)\).s

Lemma 15.1	F\"ur zwei Polynome \(p, q \in K[t]\) gilt: \begin{enumerate} \item Grad\((p+q) \leq \max\{\)Grad\((p)\),Grad\((q)\)\(\}\) \item Grad\((p*q)=\)Grad\((p) + \)Grad\((q)\).


Lemma 16.1	Sind \(V\) ein endlichdimensionaler K-Vektorraum und \(f \in L(V,V)\), dann gelten: \begin{enumerate} \item Hat \(v_0 \in V \setminus \{0\}\) den Grad \(m\) bzgl. \(f\), so ist \(K_m(f,v_0)\) ein \(f\)-invarianter Unterraum und es gilt \[Span\{v_0\}=K_1(f,v_0) \subset K_2(f,v_0) \subset \cdots \subset K_m(f,v_0)=K_{m+j}(f,v_0)\] f\"ur alle \(j \in \mathbb{N}.\) \item Hat \(v_0 \in V\setminus \{0\}\) den Grad \(m\) bzgl. \(f\) und ist \(U \subseteq V\) ein \(f\)-invarianter Unterraum, der den Vektor \(v_0\) enth\"alt, so gilt \(K_m(f,v_0) \subseteq U\). Unter allen \(f\)-invarianten Unterr\"aumen von \(V\), die den Vektor \(v_0\) enthalten, ist somit \(K_m(f,v_0)\) derjenige mit der kleinsten Dimension. \item Ist \(v_0 \in V\) mit \(f^{m-1}(v_0) \neq 0\) und \(f^m(v_0)=0\) f\"ur ein \(m \in \mathbb{N}\), so gilt \(\dim(K_j(f,v_0))=j\) f\"ur \(j=1,\ldots,m\)
Lemma 16.3	Sei \(V \neq \{0\}\) ein \(K\)-Vektorraum und ist \(f \in L(V,V)\) nilpotent vom Grad \(m\), dann gilt \(m \leq dim(V).\)
Satz 16.5	Sei \(V\) ein endlichdimensionaler \(K\)-Vektorraum und \(f \in L(V,V)\). Dann existieren \(f\)-invariante Unterr\"aume \(U_1 \subseteq V\) und \(U_2 \subseteq V\) mit \(V=U_1 \oplus U_2\), so dass \(f|_U_1 \in L(U_1,U_1)\) bijektiv und \(f|_U_2 \in L(U_2,U_2)\) nilpotent ist.





Beispiel Kommutativer Ring mit Eins:	\((\mathbb{N}, \oplus, \otimes)\)
