Satz 10.1	Seien \(V\) ein \(K\)-Vektorraum \(v,w \in V, \lambda \in K\) und \(f\) eine Abbildung. Dann ist \(f\) ist genau dann linear, wenn gilt: \[f(\lambda v +w)=\lambda f(v) + f(w)\]
Lemma 10.5	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume. Fuer \(f,g \in L(V,W)\) und \(\lambda \in K\) seien \(f+g\) und \(\lambda*f\) definiert durch: \[(f + g)(v):=f(v)+g(v),\] \[(\lambda * f)(v):=\lambda f(v),\] fuer alle \(v \in V\). Dann ist \((L(V,W),+,*)\) ein \(K\)-Vektorraum.
Satz 10.6	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume. Ist \({v_1,\ldots,v_m}\) eine Basis von \(V\) und sind \(w_1,\ldots,w_m \in W\), dann gibt es genau eine lineare Abbidlung \(f \in L(V,W)\) mit \(f(v_i)=w_i, \ i =1,\ldots,m.\)
Lemma 10.9	Sind \(V\) und \(W\) zwei \(K\)-Vektorraeume, dann gelten fuer jedes \(f \in L(V,W)\): \begin{enumerate} \item \(f(0)=0\) und \(f(-v)=-f(v)\) fuer alle \(v \in V\). \item Ist \(f\) ein Isomorphismus, so ist \(f^{-1} \in L(W,V)\). \item \(Kern(f)\) ist ein Unterraum von \(V\), \(Bild(f)\) ist ein Untervektorraum von \(W\). \item \(f\) ist genau dann surjektiv, wenn \(Bild(f)=W\) ist.\item \(f\) ist genau dann injektiv, wenn \(Kern(f)=\{0\}\) ist. \item Ist \(f\) injektiv und sind \(v_1,\ldots,v_m \in V\) linear unabhaengig, so sind auch die Bilder \(f(v_1),\ldots,f(v_m) \in W\) linear unabhaengig. \item Sind \(v_1,\ldots,v_m \in V\) linear abhaengig, so sind auch die Bilder \(f(v_1),\ldots,f(v_m) \in W\) linear abhaengig. (Sind \(f(v_1),\ldots,f(v_m) \in W\) linear unabhaengig, so sind \(v_1,\ldots,v_m \in V\) linear unabhaengig.) \item Ist \(w \in Bild(f)\) und ist \(u \in f^{-1}(w)\) beliebig, so gilt \[f^{-1}(w)=u+Kern(f):=\{u+v|v \in Kern(f)\}.\]\end{enumerate}
Satz 10.11	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume und sei \(V\) endlichdimensional. Fuer jedes \(f \in L(V,W)\) gilt dann \[dim(V)=dim(Bild(f))+dim(Kern(f)).\]
Korollar 10.13	Sind \(V\) und \(W\) zwei \(K\)-Vektorraeume mit \(dim(V)=dim(W) \in \mathbb{N}\) und ist \(f \in L(V,W)\), dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(f\) ist injektiv, \item \(f\) ist surjektiv, \item \(f\) ist bijektiv. \end{enumerate}
Korollar 10.14	Zwei endlichdimensionale \(K\)-Vektorraeume \(V\) und \(W\) sind genau dann isomorph, wenn \(dim(W)=dim(W)\) gilt.
Satz 10.18	 Seien \(V\) und \(W\) zwei endlichdimensionale \(K\)-Vektorraeume mit Basen \(B_1 = \{v_1,\ldots,v_m\}\) und \(B_2=\{w_1,\ldots,w_n\}\) von \(W\). Dann ist die Abbildung \[L(V,W) \rightarrow K^{n,m}, \quad f \mapsto [f]_{B_1,B_2},\] ein Isomorphimus, also \(L(V,W) \ \widetilde{=} \ K^{n,m}\) und \(dim(L(V,W))=dim(K^{n,m})=n*m.\)
Lemma 10.19	Ist \(B=\{v_1,\ldots,v_n\}\) eine Basis des \(K\)-Vektorraums \(V\), so ist die Abbildung \[\phi_B:V \rightarrow K^{n,1}, v=\lambda_1 v_1 + \ldots + \lambda_n v_n \mapsto \phi_B(v):=\begin{bmatrix}\lambda_1\\\vdots\\\lambda_n\end{bmatrix},\] ein Isomorphismus, den wir die Koordinatenabbildung von \(V\) bzgl. der Basis \(B\) nennen.
Satz 10.21	Seien \(V, W\) und \(X\) drei \(K\)-Vektorraeume. SInd \(f \in L(V,W)\) und \(g \in L(W,X)\), dann gilt \(g \circ f \in L(V,X)\). SInd \(V, W\) und \(X\) endlichdimensional mit entsprechenden Basen \(B_1=\{v_1,\ldots,v_m\}, B_2=\{w_1,\ldots,w_n\}\) und \(B_3 = \{x_1,\ldots,x_s\}\), so gilt \[[g \circ f]_{B_1,B_3}=[g]_{B_2,B_3}[f]_{B_1,B_2}.\]
Korollar 10.22	Seien \(V\) und \(W\) zwei endlichdimensionale \(K\)-Vektorraeume mit Basen \(B_1\) bzw. \(\tilde{B_1}\) von \(V\) und \(B_2\) bzw. \(\tilde{B_2}\) von \(W\). Ist \(f \in L(V,W)\), so gilt: \[[f]_{B_1,B_2}=[Id_W]_{\tilde{B_2},B_2} [f]_{\tilde{B_1},\tilde{B_2}}[Id_V]_{B_1,\tilde{B_1}}\] Insbesondere sind Matrizen \([f]_{B_1,B_2}\) und \([f]_{\tilde{B_1},\tilde{B_2}}\) aequivalent.
Satz 10.24	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume mit \(dim(V)=m\) und \(dim(W)=n\). Dann gibt es Basen \(B_1\) von \(V\) und \(B_2\) von \(W\) mit \[[f]_{B_1,B_2} = \begin{bmatrix} I_r & 0 \\ 0 & 0 \end{bmatrix} \in K^{n,m},\] wobei \(0 \leq r = dim(Bild(f)) \leq min\{n,m\}\) gilt. Außerdem gilt \(r = Rang(F),\) wobei \(F\) die Matrixdarstellung von \(f\) bzgl. beliebiger Basen von \(V\) und \(W\) ist, und wir definieren \(Rang(f):=Rang(F)=dim(Bild(f)).\)
