
lineare Abbildung	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume. Eine Abbildung \(f: V \rightarrow W\) hei\ss t \(K\)-linear (kurz: linear), wenn fuer alle \(v,w \in V\) und \(\lambda \in K\) die Gleichungen \begin{enumerate} \item \(f(\lambda v)=\lambda f(v)\), \item \(f(v+w) = f(v) + f(w)\), \end{enumerate} gelten. Die Menge aller dieser Abbildungen bezeichnen wir mit \(L(V,W)\).
Homomorphismus	Eine lineare Abbildung \(f: W \rightarrow V\) wird Homomorphismus genannt.
Isomorphmismus	Ein bijektiver Homomorphismus hei\ss t Isomorphismus.
Endomorphismus	Eine Abbildung \(f \in L(V,V)\) hei\ss t Endomorphismus.
Automorphmismus	Ein bijektiver Endomorphismus hei\ss t Automorphismus.
Kern	Sind \(V\) und \(W\) zwei \(K\)-Vektorraeume und \(f \in L(V,W)\), dann hei\ss t: \[Kern(f):=\{v \in V|f(v)=0\}.\]
Bild	Sind \(V\) und \(W\) zwei \(K\)-Vektorraeume und \(f \in L(V,W)\), dann hei\ss t: \[Bild(f):=\{f(v)|v \in V\} \subseteq W.\]
Urbild	Sind \(V\) und \(W\) zwei \(K\)-Vektorraeume und \(f \in L(V,W)\). Dann definiert man das Urbild von \(w\) in \(V\) als \[f^{-1}(w):=f^{-1}({w})=\{w \in V|f(v)=w\}.\]

Darstellende Matrix eines Homomorphismus	Die durch \[(f(v_1),\ldots,f(v_m)) = (w_1,\ldots,w_n)A\] eindeutig bestimmte Matrix hei\ss t die Matrixdarstellung oder darstellende Matrix von \(f \in L(V,W)\) bzgl. der Basen \(B_1=\{v_1,\ldots,v_m\}\) von \(V\) und \(B_2=\{w_1,\ldots,w_n\}\) von \(W\). Wir bezeichnen diese Matrix mit \([f]_{B_1,B_2}\).
Koordinatenabbildung	Ist \(B=\{v_1,\ldots,v_n\}\) eine Basis des \(K\)-Vektorraums \(V\), so ist die Abbildung \[\phi_B:V \rightarrow K^{n,1}, v=\lambda_1 v_1 + \ldots + \lambda_n v_n \mapsto \phi_B(v):=\begin{bmatrix}\lambda_1\\\vdots\\\lambda_n\end{bmatrix},\] ein Isomorphismus, den wir die Koordinatenabbildung von \(V\) bzgl. der Basis \(B\) nennen.
Linearform	Ist \(V\) ein \(K\)-Vektorraum, so nennen wir eine Abbildung \(f \in L(V,K)\) eine Linearform auf \(V\).
Dualraum	Ist \(V\) ein \(K\)-Vektorraum. Den \(K\)-Vektorraum \(V^*:=L(V,K)\) nennen wir den Dualraum von \(V\).
Duale Basis	Sei \(V\) ein \(n\)-dimensionaler \(K\)-Vektorraum mit einer gegebenen Basis \(B = \{v_1,\ldots,v_n\}\). Dann gibt es genau eine Basis \(B^*=\{v_1^*,\ldots,v_n^*\}\) von \(V^*\) mit der Eigenschaft: \[v_j^*(v_j)=\delta_{ij}, \quad i,j=1,\ldots,n.\] Wir nennen \(B^*\) die zu \(B\) duale Basis \(V^*\).
Duale Abbildung	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume mit ihren jeweiligen Dualraeumen \(V^*,W^*\) und sei \(f \in L(V,W)\). Dann hei\ss t \[f^*:W^* \rightarrow V^*, \quad h \mapsto h \circ f,\] also \(f^*(h)=h \circ f\) fuer alle \(h \in W^*\), die zu \(f\) duale Abbildung.
Bilinearform	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume. Eine Abbildung \(\beta : V \times W \rightarrow K\) hei\ss t Bilinearform auf \(V \times W\), wenn \begin{enumerate} \item \(\beta (v_1 + v_2,w) = \beta (v_1,w) + \beta(v_2,w),\) \item \(\beta (v,w_1 +w_2)= \beta (v,w_1)+ \beta (v,w_2),\) \item \(\beta (\lambda v,w)=\beta (v, \lambda w)= \lambda \beta(v,w),\) \end{enumerate} fuer alle \(v,v_1,v_2 \in V, w,w_1,w_2 \in W\) und \(\lambda \in K\) gilt.
Nicht ausgeartet in der ersten Variablen	Eine Bilinearform \(\beta\) auf \(V \times W\) hei\ss t nicht ausgeartet in der ersten Variablen, wenn aus \(\beta(v,w)=0\) fuer alle \(w \in W\) folgt, dass \(v=0\) ist.
Nicht ausgeartet in der zweiten Variablen	Eine Bilinearform \(\beta\) auf \(V \times W\) hei\ss t nicht ausgeartet in der zweiten Variablen, wenn aus \(\beta(v,w)=0\) fuer alle \(v \in W\) folgt, dass \(w=0\) ist.
Nicht ausgeartete Bilinearform	Eine Bilinearform \(\beta\) auf \(V \times W\) hei\ss t nicht ausgeartete Bilinearform, falls \(\beta\) in beiden Variablen nicht ausgeartet ist.
Duales Raumpaar	Ist \(\beta\) eine nicht ausgeartete Bilinearform auf \(V \times W\), so nennen wir die Raeume \(V,W\) ein duales Paar von Raeumen oder duales Raumpaar von \(\beta\).
Symmetrische Bilinearform	Eine Bilinearform \(\beta\) auf \(V\) hei\ss t symmetrisch, wenn \(\beta (v,w)= \beta (w,v)\) fuer alle \(v,w \in V\) gilt.
Darstellende Matrix einer Bilinearform	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume mit Basen \(B_1=\{v_1,\ldots,v_m\}\) und \(B_2=\{w_1,\ldots,w_n\}\). Ist \(\beta\) eine Bilinearform auf \(V \times W\), so hei\ss t \[[\beta]_{B_1 \times B_2}=[b_{ij}] \in K^{n,m}, \quad b_{ij}:=\beta (v_j,w_i),\] die Matrixdarstellung oder darstellende Matrix von \(\beta\) bzgl. der Basen \(B_1\) und \(B_2\).
Kongruente Matrizen	Falls fuer zwei Matrizen \(A,B \in K^{n,n}\) eine Matrix \(Z \in GL_n(K)\) mit \(B=Z^T AZ\) existiert, so hei\ss en \(A\) und \(B\) kongruent.
Sesquilinearform	Seien \(V\) und \(W\) zwei \(\mathbb{C}\)-Vektorraeume. Eine Abbildung \(s: V \times W \rightarrow \mathbb{C}\) hei\ss t Sesquilinearform auf \(V \times W\), wenn \begin{enumerate} \item \(s(v_1 +v_2,w)=s(v_1,w)+s(v_2,w),\) \item \(s(\lambda v,w) = \lambda s(v,w),\) \item \(s(v,w_1+w_2)=s(v,w_1)+s(v,w_2),\) \item \(s(v,\lambda w)=\bar{\lambda} s(v,w),\) \end{enumerate} fuer alle \(v,v_1,v_2 \in V, w,w_1,w_2 \in W\) und \(\lambda \in \mathbb{C}\) gilt.
Hermitesche Sesquilinearform	Eine Sesquilinearform \(s\) auf \(V\) hei\ss t hermitesch, wenn \(s(v,w)=\overline{s(w,v)}\) fuer alle \(v, w \in V\) gilt.
Hermitesche Matrix	Ist \(A= [a_{ij}] \in \mathbb{C}^{n,m},\) so ist die hermitesch Transponierte von \(A\) die Matrix \[A^H:=[\bar{a}_{ij}]^T \in \mathbb{C}^{m,n}.\] Ist \(A=A^H\), so nennen wir \(A\) eine hermitesche Matrix.
Darstellende Matrix einer Sesquilinearform	Seien \(V\) und \(W\) zwei \(\mathbb{C}\)-Vektorraeume mit Basen \(B_1 = \{v_1,\ldots,v_m\}\) und \(B_2=\{w_1,\ldots,w_n\}\). Ist \(s\) eine Sesquilinearform auf \(V \times W\), so hei\ss t \[[s]_{B_1 \times B_2}=[b_{ij}] \in \mathbb{C}^{n,m}, \quad b_{ij}:=s(v_j,w_i),\] die Matrixdarstellung oder die darstellende Matrix von \(s\) bzgl. der Basen \(B_1\) und \(B_2\).

Skalarprodukt/inneres Produkt	Sei \(V\) ein \(K\)-Vektorraum, wobei entweder \(K=\mathbb{R}\) oder \(K=\mathbb{C}\) gelten soll. Eine Abbildung \[\langle \cdot,\cdot \rangle:V \times V \rightarrow K, \quad (v,w) \mapsto \langle v,w \rangle,\] hei\ss t Skalarprodukt oder inneres Produkt auf \(V\), wenn gilt: \begin{enumerate} \item Ist \(K = \mathbb{R}\), so ist \(\langle \cdot,\cdot \rangle\) eine symmetrische Bilinearform. Ist \(K=\mathbb{C}\), so ist \(\langle \cdot,\cdot \rangle\) eine hermitische Sesquilinearform. \item \(\langle \cdot,\cdot \rangle\) ist positiv definit, d.h. es gilt \(\langle v,v \rangle \geq 0\) fuer alle \(v \in V\) mit Gleichheit genau dann, wenn \(v=0\) ist.\end{enumerate}
Euklidischer Vektorraum	Ein \(\mathbb{R}\)-Vektorraum mit einem Skalarprodukt hei\ss t euklidischer Vektorraum.
Unitaerer Vektorraum	Ein \(\mathbb{C}\)-Vektorraum mit einem Skalarprodukt hei\ss t unitaerer Vektorraum.
Norm	Sei \(V\) ein \(K\)-Vektorraum, wobei entweder \(K=\mathbb{R}\) oder \(K=\mathbb{C}\) gelteen soll. Eine Abbildung \[\|\cdot \|:V \rightarrow \mathbb{R}, \quad v \mapsto \|v\|,\] hei\ss t Norm auf \(V\), wenn fuer alle \(v,w \in V\) und \(\lambda \in K\) gilt: \begin{enumerate} \item \(\|\lambda v\|=|\lambda| \cdot \|v\|.\) \item \(\|v\| \geq 0\) mit Gleichung genau dann, wenn \(v =0\) ist. \item \(\|v+w\| \leq \|v\| +\|w\|.\) \end{enumerate}
Normierter Raum	Ein \(K\)-Vektorraum, auf dem eine Norm definiert ist, hei\ss t normierter Raum.
Standardskalarprodukt des \(\mathbb{R}^{n,1}\)	Auf dem Vektorraum \(\mathbb{R}^{n,1}\) ist \[\langle v,w \rangle := w^Tv\] ein Skalarprodukt, welches das Standardskalarprodukt des \(\mathbb{R}^{n,1}\) genannt wird.
Standardskalarprodukt des \(\mathbb{C}^{n,1}\)	Auf dem Vektorraum \(\mathbb{C}^{n,1}\) ist \[\langle v,w \rangle := w^Hv\] ein Skalarprodukt, welches das Standardskalarprodukt des \(\mathbb{C}^{n,1}\) genannt wird.
Euklidische Norm des \(\mathbb{R}^{n,1}\)	Ist \(\langle \cdot,\cdot \rangle\) das Standardskalarprodukt des \(\mathbb{R}^{n,1}\), dann ist durch \[\|v\|:=\langle v,v \rangle ^{1/2}=(v^Tv)^{1/2}\] eine Norm definiert, die man die euklidische Norm des \(\mathbb{R}^{n,1}\) nennt.
Euklidische Norm des \(\mathbb{C}^{n,1}\)	Ist \(\langle \cdot,\cdot \rangle\) das Standardskalarprodukt des \(\mathbb{C}^{n,1}\), dann ist durch \[\|v\|:=\langle v,v \rangle ^{1/2}=(v^Hv)^{1/2}\] eine Norm definiert, die man die euklidische Norm des \(\mathbb{C}^{n,1}\) nennt.

Orthogonale Vektoren	Sei \(V\) ein euklidischer oder ein unitaerer Vektorraum mit dem Skalarprodukt \(\langle \cdot,\cdot \rangle\). Zwei Vektoren \(v,w \in V\) hei\ss en orthogonal bzgl. des gegebenen Skalarprodukts \(\langle \cdot,\cdot \rangle\), wenn \(\langle v,w \rangle =0\) gilt.
Orthogonalbasis	Eine Basis \(\{v_1,\cdots,v_j\}\) hei\ss t Orthogonalbasis, wenn \[\langle v_i,v_j \rangle =0, \quad i,j=1,\cdots,n \text{ und } i \neq j,\] gilt.
