Abgeschlossen	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X\). Dann hei\ss t \(T\) abgeschlossen, falls \(X\setminus T\) (das Komplement von \(T\) in \(X\)) offen ist.
Abgeschlossene Huelle	 Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \[\overline{T}:=X \setminus (x \setminus T)^{\circ}\] hei\ss t Abscshluss oder abgeschlossene Huelle von \(T\).
Abschluss	 Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \[\overline{T}:=X \setminus (x \setminus T)^{\circ}\] hei\ss t Abscshluss oder abgeschlossene Huelle von \(T\).
Beschraenkte Menge in metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und sei \(A \subseteq X.\) Die Menge \(A\) hei\ss t beschraenkt, falls \(diam(A) < \infty\)
Beschraenkte Abbildung	Sei \(X\) eine beliebige Menge und \((Y,d)\) ein metrischer Raum. Eine Abbildung \(f: X \rightarrow Y\) hei\ss t beschraenkt, falls \(f(X) \subseteq Y\) beschraenkt ist.
Beispiel offener/abgeschlossenere Mengen	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(\epsilon > 0\). \begin{enumerate} \item \(X\) und \(\emptyset\) sind sowohl offen, als auch abgeschlossen. \item \(\epsilon\)-Umgebungen sind offen. \item Fuer \(d\) als diskrete Metrik auf \(X\) sind alle Teilmengen von \(X\) offen und abgeschlossen.\end{enumerate}
Charakterisierung beschraenkter Mengen	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq X\) mit \(A \neq \emptyset.\) Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(A\) ist beschraenkt. \item Es gibt \(x \in X\) und \(M \geq 0,\) so dass \(d(a,x) \leq M\) fuer alle \(a \in A\) gilt. \item Zu jedem \(x \in X\) gibt es ein \(M_{x} \geq 0\), so dass \(d(a,x)\leq M_{x}\) fuer alle \(a \in A\) gilt. \end{enumerate}
Charakterisierung abgeschlossener Mengen	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq X\). Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(A\) ist geschlossen \item \(A\) ist folgenabgeschlossen. \end{enumerate}
Dicht	Sei \((X,d)\) ein metrischer Raum und \(D \subseteq X\). Dann hei\ss t \(D\) dicht in \(X\), falls \(\overline{D}=X.\)
Diskrete Metrik	Auf jeder Menge \( X \neq \emptyset \) wird durch \[ d(x,y)=\begin{cases} 1, & x \neq y \\ 0, & x=y\end{cases}\] eine Metrik festgelegt, die man \(Diskrete Metrik\) nennt.
Durch \(d\) Induzierte Metrik	Sei \((X,d)\) ein metrischer Raum und \(Y \subseteq X\). Dann ist auch \(Y, d_{Y}\) mit \[d_{Y}(y_{1},y_{2})=d(y_{1},y_{2})\] fuer alle \(y_{1},y_{2}\) fuer alle \(y_{1},y_{2} \in Y\) ein metrischer Raum.Man nennt \(d_{Y}\) die durch \(d\) induzierte Metrik oder Spurmetrik auf \(Y\).
Durchmesser	Sei \((X,d)\) ein metrischer Raum und sei \(A \subseteq X.\) Dann hei\ss t \(diam(A):=sup\{d(a,\tilde{a})|a,\tilde{a} \in A\} \in \mathbb{R} \cup \{\infty\}\) fuer \(A \neq \emptyset\) bzw. \(diam(A):=0\) fuer \(A=\emptyset\) der Durchmesser von \(A\).
Eigenschaften des Randes	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). Dann ist \(\partial T\) abgeschlossen.
Eigenschaften der Hausdorff-Eigenschaft	In topologischen Raeumen mit der Hausdorff-Eigenschaft sind Grenzwerte eindeutig.
Euklidische Norm	Die Euklidische Norm ist eine Norm auf dem \(\mathbb{R}^{n}\). \[\|x\|_{2}:= \Big( \sum_{i=1}^{n}|x_{i}|^{2}\Big) ^{\frac{1}{2}}\]
Folgenabgeschlossenheit	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq X\). Dann hei\ss t \(A\) folgenabgeschlossen, wenn fuer jede Folge \((a_{n})_{n \in \mathbb{N}}\) in \(A\) mit \(\lim_{n \rightarrow \infty}= x \in X\) gilt \(x \in A\).
Hausdorff-Eigenschaft	Ein topologischer Raum \(X\) hat die Hausdorff-Eigenschaft, wenn fuer alle \(x,y\in X\) mit \(x\neq y\) disjunkte offene Umgebungen \(U(x) \subseteq X\)  und \(V(y) \subseteq X \) existieren.
Innerer Punkt	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X.\) Dann hei\ss t a innerer Punkt von \(T\), falls es eine \(\epsilon\)-Umgebung von \(a\) gibt, die noch ganz in \(T\) enthalten ist, d.h. es gibt \(\epsilon > 0\), so dass \[U_{\epsilon}(a) \subseteq T.\]
Inneres Kern	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \(T^{\circ}:=\{x \in T | x \text{ ist innerer Punkt von } T \}\) hei\ss t offener Kern oder Inneres von \(T\).
Konvergenz in metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und \((x_{n})_{n \in \mathbb{N}}\) eine Folge in \(X\). \begin{enumerate} \item \((x_{n})\) hei\ss t konvergent gegen \(a \in X\), falls \[\lim_{n\rightarrow \infty} d(x_{n},a)=0.\] In diesem Fall hei\ss t \(a\) Limes oder Grenzwert der Folge. \item \((x_{n})\) hei\ss t konvergent, falls es ein \(a \in X\) gibt, so dass \((x_{n})\)konvergent gegen \(a\) ist. \end{enumerate}
Maximumsnorm	Fuer \(\mathbb{R}^n:=\{(x_1,\dots,x_n)|x_i \in \mathbb{R}\} \) ist \[\|x\|_\infty :=\max_{i=1,\dots,n} |x_i|,\] eine Norm auf dem \(\mathbb{R}^n\), genannt Maximumsnorm.
Minkowski-Ungleichung	\(\|x+y\|_{p} \leq \|x\|_{p} + \|y\|_{p}\), \quad \(x,y \in \mathbb{R}^{n}\)
Multiple edges/Parallel edges/Multi-edge	In graph theory, multiple edges/parallel edges/ multi-edge, are two or more edges that are incident to the same two vertices.
Offen	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X\). Dann hei\ss t \(T\) offen falls jedes \(x \in T\) ein innerer Punkt von \(T\) ist.
Offener Kern	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \(T^{\circ}:=\{x \in T | x \text{ ist innerer Punkt von } T \}\) hei\ss t offener Kern oder Inneres von \(T\).
Rand	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \[\partial T:=\overline{T} \setminus T^{\circ}\] hei\ss t Rand von \(T\).
Randpunkt	Die Elemente des Randes hei\ss en Randpunkte.
Spurmetrik	Sei \((X,d)\) ein metrischer Raum und \(Y \subseteq X\). Dann ist auch \(Y, d_{Y}\) mit \[d_{Y}(y_{1},y_{2})=d(y_{1},y_{2})\] fuer alle \(y_{1},y_{2}\) fuer alle \(y_{1},y_{2} \in Y\) ein metrischer Raum.Man nennt \(d_{Y}\) die durch \(d\) induzierte Metrik oder Spurmetrik auf \(Y\).
Umgebung	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X\). Dann hei\ss t \(T\) Umgebung von \(a\) und \(a\) hei\ss t innerer Punkt von \(T\), falls es eine \(\epsilon\)-Umgebung von \(a\) gibt, die noch ganz in \(T\) enthalten ist, d.h. es gibt \(\epsilon >0\), so dass \[U_{\epsilon}(a) \subseteq T.\]
Unendlichnorm	Fuer \(\mathbb{R}^n:=\{(x_1,\dots,x_n)|x_i \in \mathbb{R}\} \) ist \[\|x\|_\infty :=\max_{i=1,\dots,n} |x_i|,\] eine Norm auf dem \(\mathbb{R}^n\), genannt Maximumsnorm.
Zusammenhaenge Abschluss/Offener Kern/Rand	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). Dann gilt: \begin{enumerate} \item \(T^{\circ} \subseteq T \subseteq \overline{T}\) \item \(T^{\circ}=T \setminus \partial T\) \item \(\overline{T} = T \cup \partial T\) \item \(T\) offen \(\Leftrightarrow T=T^{\circ}\) \item \(T\) abgeschlossen \(\Leftrightarrow T=\overline{T}\) \item \(\partial T = \partial(X\setminus T)\) \item \(T \cup \partial T=\overline{T}\)\end{enumerate}
\(1\)-Norm	Fuer \(\mathbb{R}^n:=\{(x_1,\dots,x_n)|x_i \in \mathbb{R}\} \) ist \[\|x\|_1 :=\sum \limits_{i=1} \limits^n |x_i|\] eine Norm auf dem \(\mathbb{R}^n\), genannt 1-Norm
\(\epsilon\)-Umgebung	Sei \((X,d)\) ein metrischer Raum \(a \in C\) und \(T \subseteq X\). Sei \(\epsilon > 0.\) Dann hei\ss t \[U_{\epsilon}(a):={x \in X|d(a,x)<x}\] \(\epsilon\)-Umgebung von \(a\) (oder auch offene Kugel um \(a\) mit Radius \(\epsilon\))
\(p\)-Norm	Fuer alle \(p > 1\) ist durch den Ausdruck \[\|x\|_{p}:= \Big( \sum_{i=1}^{n}|x_{i}|^{p}\Big) ^{\frac{1}{p}}\] eine Norm auf dem \(\mathbb{R}^{n}\) gegeben, die sogenannte \(p\)-Norm.
