Adjacent Vertex of a Vertex	In graph theory, an adjacent vertex of a vertex \(v\) in a graph is a vertex that is connected to \(v\) by an edge.
Alphabet	In formal language theory, an alphabet \(\Sigma\) is a non-empty set of symbols.
Bag	Let T\(:=(T,(B_{t})_{t \in V(T)})\) be a tree-decomposition. The sets \(B_{t}\) are called bags.
Big-Oh Notation	If \(f,g\) are two functions from \(\mathbb{N}\) to \(\mathbb{N}\), then: \begin{enumerate} \item \(f =O(g)\) exists if there exists a constant \(c\) such that \(f(n) \leq c \cdot g(n)\) for every sufficiently large \(n\),\item \(g=O(f) \implies f=\Omega (g)\)\item \(f=\Theta(g) \iff{} (f = O(g) \land g= O(f))\)\item \(f = o(g)\) if for every \(\epsilon > 0, f(n) \leq \epsilon \cdot g(n)\) for every sufficiently large \(n\),\item \(g=o(f) \implies f=\omega(g)\) \(g=o(f)\) \end{enumerate} To Emphasize the input parameter, another notation is \(f(n)=O(g(n))\) instead of \(f=O(g)\). Similar notations can be used for \(o,\Omega,\omega,\Theta.\)
Bramble	In graph theory, a bramble for an undirected graph \(G\) is a family of connected subgraphs of \(G\) where for every pair of disjoint subgraphs, there must exist an edge in \(G\) that has one endpoint in each subgraph.
Certificate	A language \(L \subseteq \{0,1\}^{\ast}\) is in NP if there exists a polynomial \(p: \mathbb{N} \rightarrow \mathbb{N}\) and a polynomial time Turing Machine \(M\) such that for every \(x \in \{0,1\}^{\ast},\) \[x \in L \Leftrightarrow \exists u \in \{0,1\}^{p(|x|)} \text{ so that } M(x,u)=1.\] If \(x \in L\) and \(u \in \{0,1\}^{p(|x|)}\) satisfy \(M(x,u)=1\) then we call \(u\) a certificate for \(x\) with respect to \(L\) and \(M\).
Chromatic Number	The number \[\chi(G):=\min\{k:G \text{ is } k \text{-colourable}\}\] is called the chromatic number of \(G\).
Class	In set theory and its applications throughout mathematics, a class is a collection of sets or other mathematical objects that can be unambiguously defined by a property that all its members share.
Clique Number	The clique number \(\omega(G)\) of a graph \(G\) is the number of vertices in a maximum clique in \(G\).
Clique Problem	In graph theory, the clique problem is the computational problem of finding cliques/complete subgraphs in a graph.
Clique/Complete Subgraph	A clique or complete subgraph \(C\), in an undirected graph \(G = (V, E)\) is a subset of the vertices, \(C \subseteq V\), such that every two distinct vertices are adjacent.
Closed Walk	A closed walk consists of a sequence of vertices starting and ending at the same vertex, with each two consecutive vertices in the sequence adjacent to each other in the graph. In a directed graph, each edge must be traversed by the walk so that the edge must be oriented from the earlier of two consecutive vertices to the later of the two vertices in the sequence.
Complete Graph	In graph theory, a complete graph is a simple undirected graph in which every pair of distinct vertices is connected by a unique edge.
Connected Graph	A graph \(G\) is connected if any two of its vertices are connected by a path.
Component/Connected Component	A maximally connected subgraph of \(G\) is called a component of \(G\).
Condition \(P(x)\) holds for sufficiently large \(x\)	A condition \(P(x)\) holds for sufficiently large \(x \in \mathbb{R}\) if there exists some \(X \in \mathbb{R}\) such that \(P(x)\) holds for every \(x > X\). \[\exists x \in \mathbb{R}: \forall x \in \mathbb{R}: x \geq X \implies P(x)\]
Cycle	In graph theory, a cycle is a path of edges and vertices wherein a vertex is reachable from itself.
Degree/Valency of a Vertex	In graph theory, the degree/valency of a vertex of a graph is the number of edges incident to the vertex, with loops counted twice.
Density of an Undirected Simple Graph 	For undirected simple graph density is defined as: \[D=\dfrac{2|E|}{|V|(|V|-1)}\]
Directed Acyclic Graph (DAG)	In mathematics and computer science, a directed acyclic graph, is a finite directed graph with no directed cycles.
Directed Simple Graph Density	For directed simple graph density is defined as: \[D=\dfrac{|E|}{|V|(|V|-1)}\]
Dominating Set	In graph theory, a dominating set for a graph \(G = (V, E)\) is a subset \(D\) of \(V\) such that every vertex not in \(D\) is adjacent to at least one member of \(D\).
Dominating Set Problem	The dominating set problem concerns testing whether \(\gamma(G) \leq K\) for a given graph \(G\) and input \(K\).
Domination Number	The domination number \(\gamma(G)\) is the number of vertices in a smallest dominating set for \(G\).
Edge Contraction	An edge contraction is an operation which removes an edge from a graph while simultaneously merging the two vertices it used to connect.
Family	In set theory and its applications throughout mathematics, a class is a collection of sets or other mathematical objects that can be unambiguously defined by a property that all its members share.
Finite Graph	A finite graph is a graph in which the vertex set and the edge set are finite sets.
Formal Language	A formal language \(L\) over an alphabet \(\Sigma\) is a set of words over that alphabet.
Graph	A graph is an ordered pair \(G = (V, E)\) comprising a set \(V\) of vertices/nodes/points together with a set \(E\) of edges.
Hypergraph	In mathematics, a hypergraph is a generalization of a graph in which an edge can join any number of vertices.
Independent Set/Stable Set	In graph theory, an independent set or stable set is a set of vertices in a graph, no two of which are adjacent.
K-Colourable	Let \(k \geq 0\). A graph \(G\) is \(k\)-colourable if there is a mapping \(c:V(G) \rightarrow \{1, \ldots, k\}\) such that if \(\{u,v\} \in E(G), \text{ then } c(u) \neq c(v).\)
Loop	In graph theory, a loop is an edge that connects a vertex to itself.
Maximal Clique	A maximal clique is a clique that cannot be extended by including one more adjacent vertex, that is, a clique which does not exist exclusively within the vertex set of a larger clique.
Maximum Clique	A maximum clique of a graph \(G\), is a clique, such that there is no clique with more vertices.
Maximum Independent Set	A maximum independent set is an independent set of largest possible size for a given graph \(G\).
Minimum Vertex Cover	A minimum vertex cover is a vertex cover of smallest possible size.
Minor	An undirected graph \(H\) is a minor of another undirected graph \(G\) if a graph isomorphic to \(H\) can be obtained from \(G\) by contracting some edges, deleting some edges, and deleting some isolated vertices.
Multigraph	A multigraph is a graph which is permitted to have edges that have the same end nodes. Thus two vertices may be connected by more than one edge.
