Adjungierte Abbildung	Ist \(V\) ein endlichdimensionaler euklidischer oder unitaerer Vektorraum mit dem Skalarpprodukt \(\langle \cdot,\cdot \rangle\), so gibt es zu jeder Abbildung \(f \in L(V,V)\) eine eindeutig bestimmte Abbildung \(f^{ad} \in L(V,V)\) fuer die \[\langle f(v),w \rangle = \langle v,f^{ad}(w)\rangle \quad \text{ und } \quad \langle v,f(w) \rangle = \langle f^{ad}(v),w \rangle\] fuer alle \(v,w \in V\) gilt. Dann nennt man die Abbildung \(f^{ad}\) die Adjungierte von \(f\) bzgl. \(\langle \cdot, \cdot \rangle\).
Algebraische Vielfachheit	Sei \(V\) ein endlichdimensionaler \(K\)-Vektorraum, \(f \in f(V,V)\) und sei \(\lambda \in K\) ein Eigenwert von \(f\). Hat das charakteristische Polynom die Form \[P_f = (t-\lambda)^d *g\] fuer ein \(g \in K[t]\) mit \(g(\lambda) \neq 0,\) so nennen wir \(d\) die algebraische Vielfachheit des Eigenwerts \(\lambda\) von \(f\). Wir bezeichnen diese mit \(a(\lambda,f)\).
Assoziativ	Eine zweistellige Verknuepfung \( \ast : A \times A \rightarrow A\) auf einer Menge \(A\) hei\ss t assoziativ, wenn fuer alle \(a,b,c \in A\) das Assoziativgesetz \[a \ast (b \ast c) = (a \ast b) \ast c\] gilt.
Au\ss ere Verknuepfung	Seien \(A_1,\ldots,A_n\) und \(B\) Mengen. Ist dann \(*\) eine \(n\)-stellige Verknuepfung mit \[*: A_1,\ldots,A_n \rightarrow B\] mit \(A_i \neq B\) fuer \(1 \leq i \leq m\) und \(A_i = B\) fuer \(m+1 \leq i \leq n\) fuer ein \(M\) mit \(0 \leq m < n\), so nennt man \(*\) aeu\ss ere \(n\)-stellige Verknuepfung.
Automorphmismus	Ein bijektiver Endomorphismus hei\ss t Automorphismus.
Basis eines Vektorraums	Sei \(V\) ein \(K\)-Vektorraum. Eine Menge \(\{v_1,\ldots,v_n\} \subseteq V\) hei\ss t Basis von \(V\), wenn gilt: \begin{enumerate} \item \(v_1,\ldots,v_n\) sind linear unabhaengig. \item \(v_1,\ldots,v_n\) erzeugen den Vektorraum \(V\), (d.h. \(\text{Span} \{v_1,\cdots, v_n\}=V\))\end{enumerate}
Bild	Sind \(V\) und \(W\) zwei \(K\)-Vektorraeume und \(f \in L(V,W)\), dann hei\ss t: \[Bild(f):=\{f(v)|v \in V\} \subseteq W.\]
Bilinearform	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume. Eine Abbildung \(\beta : V \times W \rightarrow K\) hei\ss t Bilinearform auf \(V \times W\), wenn \begin{enumerate} \item \(\beta (v_1 + v_2,w) = \beta (v_1,w) + \beta(v_2,w),\) \item \(\beta (v,w_1 +w_2)= \beta (v,w_1)+ \beta (v,w_2),\) \item \(\beta (\lambda v,w)=\beta (v, \lambda w)= \lambda \beta(v,w),\) \end{enumerate} fuer alle \(v,v_1,v_2 \in V, w,w_1,w_2 \in W\) und \(\lambda \in K\) gilt.
Charakteristisches Polynom	Sind \(n \in \mathbb{N}, V\) ein \(n\)-dimensionaler \(K\)-Vektorraum mit Basis \(B\) und \(f \in L(V,V),\) dann nennen wir \[P_f := \det(t I_n -[f]_{B,B}) \in K[t]\] das charakteristische Polynom von \(f\).
Darstellende Matrix einer Bilinearform	Seien \(V\) und \(W\) zwei \(K\)-Vektorraeume mit Basen \(B_1=\{v_1,\ldots,v_m\}\) und \(B_2=\{w_1,\ldots,w_n\}\). Ist \(\beta\) eine Bilinearform auf \(V \times W\), so hei\ss t \[[\beta]_{B_1 \times B_2}=[b_{ij}] \in K^{n,m}, \quad b_{ij}:=\beta (v_j,w_i),\] die Matrixdarstellung oder darstellende Matrix von \(\beta\) bzgl. der Basen \(B_1\) und \(B_2\).
Darstellende Matrix einer Sesquilinearform	Seien \(V\) und \(W\) zwei \(\mathbb{C}\)-Vektorraeume mit Basen \(B_1 = \{v_1,\ldots,v_m\}\) und \(B_2=\{w_1,\ldots,w_n\}\). Ist \(s\) eine Sesquilinearform auf \(V \times W\), so hei\ss t \[[s]_{B_1 \times B_2}=[b_{ij}] \in \mathbb{C}^{n,m}, \quad b_{ij}:=s(v_j,w_i),\] die Matrixdarstellung oder die darstellende Matrix von \(s\) bzgl. der Basen \(B_1\) und \(B_2\).
Darstellende Matrix eines Homomorphismus	Die durch \[(f(v_1),\ldots,f(v_m)) = (w_1,\ldots,w_n)A\] eindeutig bestimmte Matrix hei\ss t die Matrixdarstellung oder darstellende Matrix von \(f \in L(V,W)\) bzgl. der Basen \(B_1=\{v_1,\ldots,v_m\}\) von \(V\) und \(B_2=\{w_1,\ldots,w_n\}\) von \(W\). Wir bezeichnen diese Matrix mit \([f]_{B_1,B_2}\).
